self.round_id,multiplier,std_time,unix_time
484,4.21,2025-03-16 22:58:53,1742155133
485,1.35,2025-03-16 22:59:08,1742155148
486,1.07,2025-03-16 22:59:21,1742155161
487,6.49,2025-03-16 22:59:54,1742155194
488,6.76,2025-03-16 23:00:26,1742155226
489,1.24,2025-03-16 23:00:41,1742155241
490,1.62,2025-03-16 23:00:58,1742155258
491,2.45,2025-03-16 23:01:19,1742155279
492,2.98,2025-03-16 23:01:42,1742155302
493,1.75,2025-03-16 23:02:00,1742155320
494,5.76,2025-03-16 23:02:30,1742155350
495,1.39,2025-03-16 23:02:47,1742155367
496,242.86,2025-03-16 23:04:01,1742155441
497,1.38,2025-03-16 23:04:18,1742155458
498,14.47,2025-03-16 23:04:58,1742155498
499,1.01,2025-03-16 23:05:11,1742155511
500,12.09,2025-03-16 23:05:48,1742155548
501,2.91,2025-03-16 23:06:13,1742155573
502,1.6,2025-03-16 23:06:30,1742155590
503,24.85,2025-03-16 23:07:16,1742155636
504,1.02,2025-03-16 23:07:31,1742155651
505,4.69,2025-03-16 23:08:00,1742155680
506,12.9,2025-03-16 23:08:40,1742155720
507,1.0,2025-03-16 23:08:53,1742155733
508,1.2,2025-03-16 23:09:07,1742155747
509,1.18,2025-03-16 23:09:21,1742155761
510,1.85,2025-03-16 23:09:40,1742155780
511,1.0,2025-03-16 23:09:51,1742155791
512,2.01,2025-03-16 23:10:10,1742155810
513,3.08,2025-03-16 23:10:34,1742155834
514,2.6,2025-03-16 23:10:56,1742155856
515,1.86,2025-03-16 23:11:15,1742155875
516,1.17,2025-03-16 23:11:28,1742155888
517,2.36,2025-03-16 23:11:48,1742155908
518,1.25,2025-03-16 23:12:02,1742155922
519,21.69,2025-03-16 23:12:46,1742155966
520,108.08,2025-03-16 23:13:53,1742156033
521,9.37,2025-03-16 23:14:32,1742156072
522,1.2,2025-03-16 23:14:46,1742156086
523,18.85,2025-03-16 23:15:30,1742156130
524,7.34,2025-03-16 23:16:06,1742156166
525,23.71,2025-03-16 23:16:53,1742156213
526,1.53,2025-03-16 23:17:11,1742156231
527,2.17,2025-03-16 23:17:33,1742156253
528,1.41,2025-03-16 23:17:49,1742156269
529,2.83,2025-03-16 23:18:12,1742156292
530,5.04,2025-03-16 23:18:42,1742156322
531,2.07,2025-03-16 23:19:02,1742156342
532,1.11,2025-03-16 23:19:15,1742156355
533,1.09,2025-03-16 23:19:31,1742156371
534,1.73,2025-03-16 23:19:48,1742156388
535,2.19,2025-03-16 23:20:08,1742156408
536,1.07,2025-03-16 23:20:21,1742156421
537,1.15,2025-03-16 23:20:33,1742156433
538,2.35,2025-03-16 23:20:54,1742156454
539,1.99,2025-03-16 23:21:14,1742156474
540,2.0,2025-03-16 23:21:32,1742156492
541,132.06,2025-03-16 23:22:38,1742156558
542,11.13,2025-03-16 23:23:19,1742156599
543,38.92,2025-03-16 23:24:16,1742156656
544,1.0,2025-03-16 23:24:30,1742156670
545,4.63,2025-03-16 23:25:00,1742156700
546,6.33,2025-03-16 23:25:33,1742156733
547,1.44,2025-03-16 23:25:49,1742156749
548,1.2,2025-03-16 23:26:05,1742156765
549,15.05,2025-03-16 23:26:48,1742156808
550,1.46,2025-03-16 23:27:05,1742156825
551,2.24,2025-03-16 23:27:26,1742156846
552,1.01,2025-03-16 23:27:38,1742156858
553,1.47,2025-03-16 23:27:55,1742156875
554,23.45,2025-03-16 23:28:40,1742156920
555,2.86,2025-03-16 23:29:05,1742156945
556,1.27,2025-03-16 23:29:20,1742156960
557,2.43,2025-03-16 23:29:42,1742156982
558,1.8,2025-03-16 23:30:01,1742157001
559,1.7,2025-03-16 23:30:22,1742157022
560,4.51,2025-03-16 23:30:52,1742157052
561,6.28,2025-03-16 23:31:23,1742157083
562,1.45,2025-03-16 23:31:41,1742157101
563,5.48,2025-03-16 23:32:11,1742157131
564,2.15,2025-03-16 23:32:32,1742157152
565,1.53,2025-03-16 23:32:50,1742157170
566,1.18,2025-03-16 23:33:04,1742157184
567,1.07,2025-03-16 23:33:17,1742157197
568,2.34,2025-03-16 23:33:37,1742157217
569,1.71,2025-03-16 23:33:55,1742157235
570,3.62,2025-03-16 23:34:20,1742157260
571,3.11,2025-03-16 23:34:44,1742157284
572,1.21,2025-03-16 23:34:58,1742157298
573,2.13,2025-03-16 23:35:17,1742157317
574,2.73,2025-03-16 23:35:40,1742157340
575,1.12,2025-03-16 23:35:52,1742157352
576,1.1,2025-03-16 23:36:05,1742157365
577,4.19,2025-03-16 23:36:30,1742157390
578,1.56,2025-03-16 23:36:47,1742157407
